"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
27,643493,"Pruitt, Austin",78,34.6,0.625,0.875,0.5,1.5,0.89,0.777,0.546,5,8,88.9,9.8,2312,87.7,86.68,0,12,15,-1,5.64,110,144,113,150,290,325,296,"-4.462","4.462","74.0","7.7",8,8,2,1,0,2,0,0,0,0,2.47963,0.4963,0.10778,-0.10778,"94.9",230,37.5,37.5,37.5,5.93,-0.55,-0.04,2.29,0.625,3,"16.525925926",0.546,1.301,"-16.525925926",0.079,0.07899999999999996,0.199,0.113,0,"55.8",12.325621332015059,-1.5034813498898707,33.65520541898068,0.75,38.96006243756545,30.071093914813215
55,686654,"Adcock, Ty",86,64,0.6,0.9,0.5,1.5,0.848,0.713,0.493,6,10,95.3,17.2,2178,92.9,93.16,4,28,27,0.29999999999999716,6.32,115,148,131,152,299,325,302,"-4.809","4.809","71.1","7.0",12,9,3,0,0,3,1,8.3,2,16.7,1.84473,0.79836,0.00909,-0.00909,"92.8",219,77.77777777777779,33.33333333333333,25,5.93,-1.9,-0.22,2.5,0.667,3,"8.743636364",0.578,1.218,"-8.743636364",0.107,0.08900000000000008,0.282,0.135,14.3,"47.1",5.358971521130308,6.326064687475206,30.994571576073714,0.35714285714285715,37.06653829869806,25.335346425390178
29,543238,"Gose, Anthony",79,36.7,0.571,0.714,0.6,1.286,0.766,0.665,0.468,4,7,95.2,12.8,2192,91.1,90.59,2,11,18,-0.5,5.92,115,138,108,142,293,315,301,"-2.782","2.782","68.7","7.0",8,6,1,2,0,1,1,12.5,1,12.5,1.98759,0.77069,0.10724,0.10724,"94.6",210,66.66666666666666,33.33333333333333,25,5.7,1.08,-0.26,2.2,0.625,2,"9.593103448",0.534,1.116,"-9.593103448",0.103,0.09099999999999997,0.17,0.101,18.2,"48.2",6.771845966170699,2.2178664949916045,32.32203097337405,0.45454545454545453,39.09594399957069,27.14919369974784
23,687396,"Headrick, Brent",60,38.3,0.4,0.8,0.25,1.2,0.666,0.653,0.42,2,5,95.3,5,2180,86,86.67,2,10,13,0.7000000000000028,6.88,121,147,116,153,278,314,304,"-1.238","1.238","72.4","7.4",6,5,0,1,0,1,0,0,1,16.7,2.23261,0.8987,0.27391,0.27391,"93.9",174,60,20,16.666666666666664,6.1,1.59,-0.75,1.96,0.5,1,"5.382608696",0.517,1.124,"-5.382608696",-0.02,-0.017000000000000015,0.076,0.013,20,"37.3",6.15826869973021,2.5499754682623212,32.16756166667893,0.3,39.10970309094253,28.555199692896664
25,668874,"Henley, Blair",39,64.1,1,0,1,1,0.772,0.648,0.595,2,2,78.3,26,2249,88.3,88.87,0,3,22,0.6000000000000085,6.72,105,140,112,143,294,325,296,"-1.943","1.943","69.5","7.1",5,2,2,0,0,0,0,0,2,40,2.686,0.2824,0.416,-0.416,"88.0",166,0,0,0,5.36,-2.15,-0.27,2.2,1,0,"7.772",0.838,0.699,"-7.772",0.405,0.16200000000000003,0.301,0.124,0,"30.2",-2.8095095698777652,24.22518040554185,39.69627356699569,0,34.37634637024506,17.16627857895829
23,670161,"Dunshee, Parker",51,45.1,0.25,0.75,0,1,0.571,0.641,0.424,1,4,100.4,8.3,2313,86.6,85.88,3,7,16,-0.6999999999999886,5.47,110,148,122,152,304,319,298,"-1.021","1.021","68.4","6.7",6,3,0,0,0,1,1,16.7,2,33.3,2.58609,0.48087,0.01696,-0.01696,"100.3",204,66.66666666666666,33.33333333333333,16.666666666666664,5.93,-1.85,0.05,2.73,0.5,1,"4.439130435",0.616,1.062,"-4.439130435",-0.174,-0.11599999999999999,-0.062,-0.07,42.9,"34.0",8.22542427754245,9.233804962860106,31.81420715205336,0.42857142857142855,35.348444331644416,26.01083957986275
40,660644,"Bruján, Vidal",55,72.7,0.571,0.429,0.5,1,0.68,0.623,0.442,4,7,93.5,30.4,1730,74.2,71.91,0,18,22,-2.299999999999997,4.66,126,147,141,152,301,337,302,"-3.61","3.61","69.4","7.0",11,7,3,0,0,1,0,0,3,27.3,3.18225,1.1065,0.431,-0.431,"90.8",170,42.857142857142854,14.285714285714285,9.090909090909092,5.73,-2,-0.53,3.01,0.727,1,"9.025",0.645,0.944,"-9.025",0.129,0.08199999999999996,0.056,0.057,0,"29.2",11.660296051256136,-0.8681413857896493,31.475293566511446,0.4444444444444444,35.97013762152577,31.16195515375559
20,686751,"Johnson, Seth",58,34.5,0.667,0,0.5,0.667,0.524,0.619,0.749,2,3,98.1,13.3,2208,89.5,88.59,3,8,12,-0.9000000000000057,5.79,125,145,114,150,280,314,295,"-1.386","1.386","75.4","7.1",6,4,2,0,0,0,0,0,2,33.3,2.154,0.75,0.247,-0.247,"96.0",166,50,0,0,5.98,-0.72,0,2.73,0.667,0,"6.93",0.723,0.91,"-6.93",-0.082,-0.05599999999999994,-0.243,-0.095,37.5,"52.3",13.552049959539001,5.021499646454874,27.968131639081854,0.625,36.65045939639089,28.29718170517193
92,571539,"Carasiti, Matt",170,54.1,0.65,0.3,0.667,0.95,0.688,0.597,0.549,13,20,92.4,7.1,1565,88.8,89.29,5,45,47,0.5,6.36,114,144,119,149,298,331,306,"-6.785","6.785","69.5","7.3",23,19,9,3,0,1,1,4.3,3,13,2.52902,0.40593,0.85359,-0.85359,"92.6",163,52.63157894736842,5.263157894736842,4.3478260869565215,5.89,-1.31,-0.48,2.29,0.696,1,"7.375",0.608,0.807,"-7.375",0.101,0.08799999999999997,0.143,0.091,11.1,"35.7",5.840662637128946,3.5695160707147444,32.77591146027902,0.38636363636363635,40.77956944823149,24.99076483380917
43,641401,"Brogdon, Connor",97,44.3,0.5,1.167,0.333,1.667,0.841,0.589,0.424,3,6,92.4,5.4,2219,87.1,87.88,3,20,23,0.8000000000000114,6.94,129,147,122,152,282,320,292,"-2.637","2.637","77.5","8.4",8,5,0,1,0,2,1,12.5,2,25,2.04209,1.0114,1.09558,-1.09558,"92.7",166,60,20,12.5,6.01,-2.88,0.29,2.33,0.625,1,"6.13255814",0.568,0.878,"-6.13255814",0.076,0.05700000000000005,0.789,0.252,15,"32.9",23.804292354735185,-26.612963762290892,26.60935060849642,0,43.159075315881225,50.619167893481155
